"Date","AQS_SITE_ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2008","490350003","1","1.6","ppm","18","19","79.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/02/2008","490350003","1","1.9","ppm","22","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/03/2008","490350003","1","2.2","ppm","25","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/04/2008","490350003","1","1.3","ppm","15","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/05/2008","490350003","1","0.9","ppm","10","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/06/2008","490350003","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/07/2008","490350003","1","1.8","ppm","20","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/08/2008","490350003","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/09/2008","490350003","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/10/2008","490350003","1","1.2","ppm","14","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/11/2008","490350003","1","1.2","ppm","14","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/12/2008","490350003","1","0.9","ppm","10","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/13/2008","490350003","1","0.9","ppm","10","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/14/2008","490350003","1","1.1","ppm","13","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/15/2008","490350003","1","1.2","ppm","14","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/16/2008","490350003","1","1.2","ppm","14","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/17/2008","490350003","1","0.9","ppm","10","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/18/2008","490350003","1","1.1","ppm","13","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/19/2008","490350003","1","1.3","ppm","15","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/20/2008","490350003","1","1.1","ppm","13","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/21/2008","490350003","1","0.8","ppm","9","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/22/2008","490350003","1","1.1","ppm","13","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/23/2008","490350003","1","1.5","ppm","17","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/24/2008","490350003","1","1.6","ppm","18","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/25/2008","490350003","1","2.1","ppm","24","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/26/2008","490350003","1","1.3","ppm","15","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/27/2008","490350003","1","0.6","ppm","7","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/28/2008","490350003","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/29/2008","490350003","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/30/2008","490350003","1","0.6","ppm","7","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"01/31/2008","490350003","1","0.8","ppm","9","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/01/2008","490350003","1","1","ppm","11","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/02/2008","490350003","1","1.1","ppm","13","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/03/2008","490350003","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/04/2008","490350003","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/05/2008","490350003","1","1.5","ppm","17","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/06/2008","490350003","1","1","ppm","11","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/07/2008","490350003","1","1.1","ppm","13","18","75.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/08/2008","490350003","1","1","ppm","11","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/09/2008","490350003","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/10/2008","490350003","1","1.9","ppm","22","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/11/2008","490350003","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
"02/12/2008","490350003","1","1.6","ppm","18","24","100.0000","42101","Carbon monoxide","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.646667","-111.849722"
